,ASIANPAINT.NS,AUROPHARMA.NS,BAJFINANCE.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,KOTAKBANK.NS,MARUTI.NS,PIDILITIND.NS,TECHM.NS,TIINDIA.NS,YESBANK.NS,Pf_Value,Pf_Value_Pct,Pf_Value_Pct_100
2024-11-22,22012.042236328125,3657.3709716796875,59786.63635253906,13778.5546875,48018.583984375,38047.921142578125,92378.61328125,4222.6116943359375,65670.814453125,16150.19140625,16983.121337890625,347028.271484375,38.41999816894531,727773.1530303955,2.112213592343598,211.2213592343598
2024-11-23,22012.042236328125,3657.3709716796875,59786.63635253906,13778.5546875,48018.583984375,38047.921142578125,92378.61328125,4222.6116943359375,65670.814453125,16150.19140625,16983.121337890625,347028.271484375,38.41999816894531,727773.1530303955,2.112213592343598,211.2213592343598
2024-11-24,22012.042236328125,3657.3709716796875,59786.63635253906,13778.5546875,48018.583984375,38047.921142578125,92378.61328125,4222.6116943359375,65670.814453125,16150.19140625,16983.121337890625,347028.271484375,38.41999816894531,727773.1530303955,2.112213592343598,211.2213592343598
2024-11-25,21900.744140625,3711.318603515625,59799.605712890625,14094.287109375,48533.0859375,38729.659423828125,91769.15283203125,4292.8505859375,65442.591796875,16312.154052734375,16838.797607421875,339127.6611328125,38.36000061035156,720590.2689361572,2.091366731817204,209.1366731817204
2024-11-26,22304.08740234375,3668.578857421875,59196.27502441406,14093.8935546875,48685.2783203125,38848.740234375,93442.138671875,4275.71044921875,64960.60546875,16453.361450195312,16963.199462890625,342513.623046875,40.279998779296875,725445.7719421387,2.1054588419811946,210.54588419811947
2024-11-27,22187.445556640625,3656.4744873046875,59976.71630859375,14305.0390625,48836.484375,38722.21435546875,93459.13696289062,4274.751708984375,65639.654296875,16637.447631835938,17073.992919921875,338513.37890625,40.52000045776367,723323.2565727234,2.0992986727106335,209.92986727106336
2024-11-28,21886.05322265625,3701.306396484375,58225.31982421875,14153.8818359375,48351.4404296875,38295.010986328125,90164.14794921875,4217.2177734375,64995.626953125,16627.340576171875,16651.71142578125,357465.8935546875,40.720001220703125,734775.6709289551,2.1325369766624327,213.25369766624328
2024-11-29,22077.931640625,3773.634521484375,58820.152587890625,14176.7734375,49018.1298828125,38704.354248046875,90222.42431640625,4231.7208251953125,65733.73828125,16749.155639648438,16641.50634765625,358629.5166015625,39.91999816894531,738818.9583282471,2.144271796182739,214.4271796182739
2024-11-30,22077.931640625,3773.634521484375,58820.152587890625,14176.7734375,49018.1298828125,38704.354248046875,90222.42431640625,4231.7208251953125,65733.73828125,16749.155639648438,16641.50634765625,358629.5166015625,39.91999816894531,738818.9583282471,2.144271796182739,214.4271796182739
2024-12-01,22077.931640625,3773.634521484375,58820.152587890625,14176.7734375,49018.1298828125,38704.354248046875,90222.42431640625,4231.7208251953125,65733.73828125,16749.155639648438,16641.50634765625,358629.5166015625,39.91999816894531,738818.9583282471,2.144271796182739,214.4271796182739
2024-12-02,22073.03173828125,3750.1728515625,59488.77502441406,14245.0498046875,48684.2919921875,38839.808349609375,91288.38500976562,4204.6322021484375,66713.73046875,17111.320434570312,16968.543701171875,353765.283203125,40.18000030517578,737173.2047805786,2.139495331155748,213.94953311557478
2024-12-03,21987.10986328125,3778.7156982421875,59710.60546875,14415.544921875,48756.9580078125,38951.44775390625,91885.69946289062,4194.923583984375,66950.865234375,17201.451416015625,17003.045654296875,361585.986328125,41.68000030517578,746464.0333938599,2.166460072022313,216.6460072022313
2024-12-04,21898.51611328125,3764.070556640625,60287.991943359375,14682.3388671875,48396.6064453125,39179.190673828125,91747.29614257812,4213.142578125,66064.060546875,17505.987060546875,17101.204833984375,365531.3232421875,42.459999084472656,750414.1890029907,2.1779245954589586,217.79245954589587
2024-12-05,21833.96484375,3716.9974365234375,61275.498046875,14726.9365234375,48987.7001953125,39787.994384765625,93961.76147460938,4255.4534912109375,66375.09375,17436.066162109375,17367.01416015625,375060.0341796875,42.34000015258789,764826.8546485901,2.219754426844985,221.97544268449852
2024-12-06,21633.626953125,3724.61865234375,61274.608154296875,14648.7919921875,48775.6103515625,39557.274169921875,93357.15942382812,4259.7689208984375,67180.58203125,17273.82958984375,17326.68212890625,367578.90625,42.97999954223633,756634.4386177063,2.1959776051492232,219.59776051492233
2024-12-07,21633.626953125,3724.61865234375,61274.608154296875,14648.7919921875,48775.6103515625,39557.274169921875,93357.15942382812,4259.7689208984375,67180.58203125,17273.82958984375,17326.68212890625,367578.90625,42.97999954223633,756634.4386177063,2.1959776051492232,219.59776051492233
2024-12-08,21633.626953125,3724.61865234375,61274.608154296875,14648.7919921875,48775.6103515625,39557.274169921875,93357.15942382812,4259.7689208984375,67180.58203125,17273.82958984375,17326.68212890625,367578.90625,42.97999954223633,756634.4386177063,2.1959776051492232,219.59776051492233
2024-12-09,21296.621337890625,3704.5938720703125,61436.05773925781,14760.4833984375,47144.716796875,39365.255126953125,93417.85888671875,4282.0631103515625,66954.12890625,17265.635986328125,17278.57421875,370575.341796875,43.68000030517578,757525.011177063,2.198562310915036,219.8562310915036
2024-12-10,21270.35302734375,3697.4208984375,62042.96447753906,14745.4853515625,47077.9541015625,39607.880859375,94627.0751953125,4302.3197021484375,66469.775390625,17551.870971679688,17139.595947265625,369426.708984375,43.20000076293945,758002.6049079895,2.1999484296058402,219.99484296058404
2024-12-11,21523.220947265625,3663.796875,63643.194580078125,14706.0185546875,47156.4990234375,39520.059814453125,95870.28198242188,4302.3197021484375,66941.958984375,17431.969360351562,17132.305908203125,367583.88671875,43.15999984741211,759518.6724510193,2.2043485073745304,220.43485073745305
2024-12-12,21276.142822265625,3630.1732177734375,63738.90197753906,14675.6298828125,46048.9453125,39572.156982421875,96494.3115234375,4239.9913330078125,66286.951171875,17425.961791992188,17392.7685546875,365491.357421875,42.400001525878906,756315.6919937134,2.1950525078865555,219.50525078865556
2024-12-13,21437.299072265625,3611.6429443359375,64248.75549316406,14774.2958984375,46935.576171875,40038.065185546875,97111.0595703125,4328.5693359375,66911.091796875,17399.194946289062,17458.857421875,364932.03125,42.18000030517578,759228.6190872192,2.203506686465127,220.3506686465127
2024-12-14,21437.299072265625,3611.6429443359375,64248.75549316406,14774.2958984375,46935.576171875,40038.065185546875,97111.0595703125,4328.5693359375,66911.091796875,17399.194946289062,17458.857421875,364932.03125,42.18000030517578,759228.6190872192,2.203506686465127,220.3506686465127
2024-12-15,21437.299072265625,3611.6429443359375,64248.75549316406,14774.2958984375,46935.576171875,40038.065185546875,97111.0595703125,4328.5693359375,66911.091796875,17399.194946289062,17458.857421875,364932.03125,42.18000030517578,759228.6190872192,2.203506686465127,220.3506686465127
2024-12-16,21389.218505859375,3720.135498046875,64477.74353027344,14722.5947265625,46465.25390625,40073.785400390625,96156.80541992188,4325.6927490234375,66937.51171875,17446.44580078125,17256.220703125,374925.1953125,42.5,767939.1032714844,2.2287870956328586,222.87870956328587
2024-12-17,20977.41796875,3627.6328125,63980.408935546875,14470.404296875,46408.310546875,39706.124267578125,95989.26391601562,4276.7889404296875,65937.6328125,16831.913452148438,17209.5703125,370080.9326171875,41.91999816894531,759538.3208770752,2.2044055329358754,220.44055329358753
2024-12-18,20883.48046875,3728.653564453125,63279.58557128906,14292.41015625,46328.7744140625,39122.62939453125,96113.09814453125,4267.080322265625,65307.849609375,16702.451293945312,17288.778076171875,374460.7177734375,41.2400016784668,761816.748790741,2.2110182066630952,221.10182066630952
2024-12-19,20406.236572265625,3750.0230712890625,61885.08544921875,14156.64453125,46341.5478515625,38311.387939453125,94512.95166015625,4224.169921875,65028.26953125,16327.449584960938,17050.181884765625,378690.72265625,40.720001220703125,760725.3906555176,2.207850761590774,220.78507615907742
2024-12-20,20321.650634765625,3711.169189453125,61256.27197265625,13982.9921875,45831.9482421875,38356.043701171875,93345.01342773438,4179.700927734375,64705.962890625,16260.807739257812,16386.387939453125,361481.1279296875,39.65999984741211,739858.736782074,2.1472895417179436,214.72895417179436
2024-12-21,20321.650634765625,3711.169189453125,61256.27197265625,13982.9921875,45831.9482421875,38356.043701171875,93345.01342773438,4179.700927734375,64705.962890625,16260.807739257812,16386.387939453125,361481.1279296875,39.65999984741211,739858.736782074,2.1472895417179436,214.72895417179436
2024-12-22,20321.650634765625,3711.169189453125,61256.27197265625,13982.9921875,45831.9482421875,38356.043701171875,93345.01342773438,4179.700927734375,64705.962890625,16260.807739257812,16386.387939453125,361481.1279296875,39.65999984741211,739858.736782074,2.1472895417179436,214.72895417179436
2024-12-23,20293.6025390625,3744.7928466796875,61421.297607421875,14215.8447265625,45930.13671875,38606.114501953125,93449.42626953125,4184.0159912109375,64236.73828125,16124.244995117188,16642.47802734375,361670.8984375,39.81999969482422,740559.4109420776,2.1493231059932967,214.93231059932967
2024-12-24,20336.341552734375,3773.186279296875,60898.02978515625,14192.9541015625,45864.3505859375,38619.510498046875,92708.84399414062,4192.8856201171875,63729.826171875,16223.11474609375,16569.58740234375,357490.8447265625,39.599998474121094,734639.0754623413,2.1321405360957084,213.21405360957084
2024-12-25,20336.341552734375,3773.186279296875,60898.02978515625,14192.9541015625,45864.3505859375,38619.510498046875,92708.84399414062,4192.8856201171875,63729.826171875,16223.11474609375,16569.58740234375,357490.8447265625,39.599998474121094,734639.0754623413,2.1321405360957084,213.21405360957084
2024-12-26,20144.01708984375,3754.656005859375,60965.562744140625,14134.9384765625,45809.365234375,38622.484130859375,92628.71704101562,4201.8753662109375,64675.986328125,16018.544555664062,16509.329833984375,363259.0087890625,39.599998474121094,740764.0855941772,2.149917132552772,214.9917132552772
2024-12-27,20224.153564453125,3795.60205078125,61788.48815917969,14194.138671875,45976.2841796875,38926.146240234375,93082.77587890625,4218.8961181640625,64943.390625,15919.946044921875,16635.189208984375,358524.6337890625,39.63999938964844,738269.2845306396,2.142676479755049,214.26764797550487
2024-12-28,20224.153564453125,3795.60205078125,61788.48815917969,14194.138671875,45976.2841796875,38926.146240234375,93082.77587890625,4218.8961181640625,64943.390625,15919.946044921875,16635.189208984375,358524.6337890625,39.63999938964844,738269.2845306396,2.142676479755049,214.26764797550487
2024-12-29,20224.153564453125,3795.60205078125,61788.48815917969,14194.138671875,45976.2841796875,38926.146240234375,93082.77587890625,4218.8961181640625,64943.390625,15919.946044921875,16635.189208984375,358524.6337890625,39.63999938964844,738269.2845306396,2.142676479755049,214.26764797550487
2024-12-30,20374.182861328125,3880.33447265625,61614.05822753906,14033.509765625,46020.46875,38542.108154296875,92560.72387695312,4172.868896484375,64099.921875,15898.91552734375,16918.97705078125,353645.4345703125,39.08000183105469,731800.5840301514,2.123902391888468,212.3902391888468
2024-12-31,20312.747314453125,3988.5281982421875,61030.40954589844,13993.6474609375,45693.505859375,38155.0927734375,91298.08959960938,4281.5833740234375,64452.802734375,15864.501586914062,16582.2216796875,357201.1962890625,39.18000030517578,732893.5064163208,2.127074376881087,212.7074376881087
2025-01-01,20520.204345703125,4044.567626953125,62034.9169921875,14071.7919921875,45600.2294921875,38214.635009765625,91419.50073242188,4287.216796875,66529.72265625,15642.996337890625,16559.381103515625,357565.7470703125,39.2599983215332,736530.1701545715,2.1376290539074816,213.76290539074816
2025-01-02,20863.89404296875,4031.2679443359375,66094.95849609375,14158.6181640625,46540.859375,38421.536865234375,95078.7109375,4404.0823974609375,70287.052734375,15986.86181640625,16783.88671875,366809.814453125,39.18000030517578,759500.7239456177,2.204296415487225,220.4296415487225
2025-01-03,20798.89453125,3943.546875,66256.40808105469,13806.970703125,47252.7197265625,37660.90576171875,94151.15966796875,4407.67822265625,70838.783203125,16017.999389648438,16419.43115234375,360537.2314453125,39.91999816894531,752131.6487579346,2.1829091731719314,218.29091731719313
2025-01-04,20798.89453125,3943.546875,66256.40808105469,13806.970703125,47252.7197265625,37660.90576171875,94151.15966796875,4407.67822265625,70838.783203125,16017.999389648438,16419.43115234375,360537.2314453125,39.91999816894531,752131.6487579346,2.1829091731719314,218.29091731719313
2025-01-05,20798.89453125,3943.546875,66256.40808105469,13806.970703125,47252.7197265625,37660.90576171875,94151.15966796875,4407.67822265625,70838.783203125,16017.999389648438,16419.43115234375,360537.2314453125,39.91999816894531,752131.6487579346,2.1829091731719314,218.29091731719313
2025-01-06,20186.312255859375,3923.6715087890625,65738.51257324219,13501.5,46662.6123046875,37632.623291015625,94107.45239257812,4266.2413330078125,69778.658203125,15812.607421875,16388.817138671875,348546.5087890625,37.79999923706055,736583.3172111511,2.137783302432359,213.7783302432359
2025-01-07,20412.9140625,3877.943115234375,65779.66186523438,13524.390625,46949.326171875,38083.64501953125,93767.51098632812,4248.0223388671875,69574.763671875,15992.051635742188,16241.5771484375,346958.3740234375,38.040000915527344,735448.220664978,2.134488915515961,213.4488915515961
2025-01-08,20784.649658203125,3830.5711669921875,65792.62023925781,13373.6298828125,47149.6240234375,37622.20458984375,93879.20532226562,4239.8719482421875,70172.49609375,15884.986938476562,16169.658203125,351777.63671875,37.540000915527344,740714.6947860718,2.1497737857753005,214.97737857753006
2025-01-09,20925.775634765625,3731.1939697265625,65095.37841796875,13164.45703125,47825.1513671875,37582.0166015625,93109.49096679688,4291.5322265625,69689.02734375,16159.47802734375,15966.0498046875,356407.1533203125,36.97999954223633,743983.6847114563,2.159261364322105,215.92613643221048
2025-01-10,20663.558349609375,3585.1922607421875,65190.19592285156,13077.2353515625,47955.7470703125,37208.397216796875,95520.62377929688,4210.0257568359375,69039.357421875,15848.660888671875,16576.390380859375,345040.6494140625,35.91999816894531,733951.9538116455,2.130146305222874,213.0146305222874
2025-01-11,20663.558349609375,3585.1922607421875,65190.19592285156,13077.2353515625,47955.7470703125,37208.397216796875,95520.62377929688,4210.0257568359375,69039.357421875,15848.660888671875,16576.390380859375,345040.6494140625,35.91999816894531,733951.9538116455,2.130146305222874,213.0146305222874
2025-01-12,20663.558349609375,3585.1922607421875,65190.19592285156,13077.2353515625,47955.7470703125,37208.397216796875,95520.62377929688,4210.0257568359375,69039.357421875,15848.660888671875,16576.390380859375,345040.6494140625,35.91999816894531,733951.9538116455,2.130146305222874,213.0146305222874
2025-01-13,20057.205322265625,3471.1702880859375,63963.85803222656,12872.798828125,48131.50390625,36610.015869140625,95289.95361328125,4167.355224609375,68247.533203125,15277.008666992188,16129.810791015625,322707.12890625,34.2400016784668,706959.5826530457,2.0518064365242594,205.18064365242594
2025-01-14,19944.12744140625,3510.322998046875,65610.15380859375,12997.1181640625,46500.60546875,36924.093017578125,94214.29443359375,4196.6015625,69692.58984375,15343.924438476562,16011.727294921875,331736.42578125,36.040000915527344,716718.0242538452,2.0801283290033563,208.01283290033564
2025-01-15,19852.864013671875,3429.775634765625,64200.4541015625,12969.09765625,46599.7802734375,36863.060302734375,94680.4931640625,4290.09375,70916.841796875,15310.057006835938,16288.226318359375,329389.208984375,35.939998626708984,714825.8930015564,2.074636802786786,207.4636802786786
2025-01-16,19727.321044921875,3455.927490234375,64937.054443359375,13040.1376953125,46049.9267578125,37186.0693359375,93650.95825195312,4328.3294677734375,71776.927734375,15213.0966796875,16401.9384765625,331811.328125,36.58000183105469,717615.5955047607,2.0827333470483147,208.27333470483148
2025-01-17,20131.55419921875,3521.8297119140625,64242.49328613281,12919.369140625,46226.6650390625,36481.99951171875,88163.36059570312,4215.779296875,72038.396484375,15367.960083007812,16136.129150390625,340476.07421875,36.52000045776367,719958.1307182312,2.089532079177733,208.95320791777328
2025-01-18,20131.55419921875,3521.8297119140625,64242.49328613281,12919.369140625,46226.6650390625,36481.99951171875,88163.36059570312,4215.779296875,72038.396484375,15367.960083007812,16136.129150390625,340476.07421875,36.52000045776367,719958.1307182312,2.089532079177733,208.95320791777328
2025-01-19,20131.55419921875,3521.8297119140625,64242.49328613281,12919.369140625,46226.6650390625,36481.99951171875,88163.36059570312,4215.779296875,72038.396484375,15367.960083007812,16136.129150390625,340476.07421875,36.52000045776367,719958.1307182312,2.089532079177733,208.95320791777328
2025-01-20,20305.623779296875,3592.6640625,66550.25390625,13033.822265625,46053.8525390625,36705.2783203125,88058.9599609375,4603.891845703125,71348.068359375,15228.11962890625,16275.107421875,343437.548828125,37.86000061035156,725231.0509185791,2.1048356578713716,210.48356578713717
2025-01-21,20125.7666015625,3547.6827392578125,65222.39685058594,12963.966796875,45961.5576171875,35609.732666015625,87447.05810546875,4538.687255859375,70538.73046875,15020.270385742188,15943.695068359375,337624.4140625,37.0,714580.9586181641,2.0739259305435884,207.39259305435885
